objectid,element,dimensiontype,dimension,unitname
66592,sheet,height,33.7,centimeters
66676,overall,width,99.5,centimeters
66676,overall,height,63.3,centimeters
66677,overall,width,99.8,centimeters
66677,overall,height,63.0,centimeters
69593,image,width,14.6,centimeters
69593,image,height,21.6,centimeters
69594,image,width,20.1,centimeters
69594,image,height,13.0,centimeters
69605,sheet,width,69.1,centimeters
69605,sheet,height,103.2,centimeters
69606,sheet,width,69.6,centimeters
69606,sheet,height,103.2,centimeters
69608,sheet,width,69.5,centimeters
69608,sheet,height,103.5,centimeters
69609,sheet,width,69.5,centimeters
69609,sheet,height,103.2,centimeters
69610,sheet,width,69.2,centimeters
69610,sheet,height,103.2,centimeters
69611,sheet,width,69.4,centimeters
69611,sheet,height,103.4,centimeters
69612,sheet,width,69.2,centimeters
69612,sheet,height,103.2,centimeters
69614,sheet,width,69.6,centimeters
69614,sheet,height,103.3,centimeters
69615,sheet,width,69.4,centimeters
69615,sheet,height,103.7,centimeters
69617,sheet,width,69.8,centimeters
69617,sheet,height,103.9,centimeters
69620,sheet,width,70.0,centimeters
69620,sheet,height,103.4,centimeters
69622,sheet,width,69.2,centimeters
69622,sheet,height,103.5,centimeters
69623,sheet,width,69.3,centimeters
69623,sheet,height,103.5,centimeters
69629,sheet,width,91.5,centimeters
69629,sheet,height,91.5,centimeters
69630,sheet,width,91.5,centimeters
69630,sheet,height,91.5,centimeters
69964,overall,width,7.3,centimeters
69964,overall,height,11.0,centimeters
70170,overall,depth,1.6,centimeters
70170,overall,width,81.0,centimeters
70170,overall,height,100.0,centimeters
70312,overall,width,41.8,centimeters
70312,overall,height,29.5,centimeters
70795,sheet,width,13.6,centimeters
70795,sheet,height,8.3,centimeters
71072,overall,width,97.2,centimeters
71072,overall,height,130.0,centimeters
71550,overall,width,80.0,centimeters
71550,overall,height,57.0,centimeters
71591,overall,width,62.1,centimeters
71591,overall,height,30.6,centimeters
71592,overall,width,62.1,centimeters
71592,overall,height,30.6,centimeters
72021,overall,width,18.7,centimeters
72021,overall,height,27.0,centimeters
72039,overall,width,40.6,centimeters
72039,overall,height,50.8,centimeters
72161,overall,width,40.0,centimeters
72161,overall,height,51.8,centimeters
72162,image,width,51.2,centimeters
72162,image,height,45.4,centimeters
72328,overall,width,90.0,centimeters
72328,overall,height,71.0,centimeters
72961,page size,width,22.5,centimeters
72961,page size,height,29.3,centimeters
72962,plate,width,21.7,centimeters
72962,plate,height,28.1,centimeters
72963,plate,width,21.5,centimeters
72963,plate,height,27.6,centimeters
72964,plate,width,20.9,centimeters
72964,plate,height,26.9,centimeters
73123,sheet,width,27.7,centimeters
73123,sheet,height,36.8,centimeters
73124,sheet,width,27.9,centimeters
73124,sheet,height,36.6,centimeters
73125,sheet,width,27.7,centimeters
73125,sheet,height,36.0,centimeters
